date,time,Unknown,calcium,calories,carbs,cholesterol,fat,fiber,iron,monounsaturated fat,polyunsaturated fat,potassium,protein,saturated fat,sodium,sugar,vitamin_c
2024-05-09,13:20:00,,391.003,519.101,41.8392,88.125,26.03,3.37202,4.21543,10.5315,1.244,628.75,30.6095,6.0385,913.675,8.94217,33.0817
2024-05-09,20:10:00,,13.8666,890.333,103.23,246,31.0553,1.70666,0.890878,3.0312,1.37867,100.8,47.4567,2.12773,89.28,2.304,0
2024-05-10,06:22:00,,0,469.5,37.495,0,19.125,1,0,0,0,0,33.58,0.3,120.2,6.575,0
2024-05-10,11:00:00,,0,105,26.95,0,0.39,0,0,0,0,0,1.29,0.132,0,14.43,0
2024-05-10,17:37:00,,86.4945,714.802,71.8343,25.6939,41.3247,6.64215,1.9305,10.158,12.4445,470.031,14.4165,4.254,931.246,13.5228,6.555
2024-05-10,21:30:00,,660,965,84.88,0,34.23,3.45,0.108,0.054,0.204,60,75.69,2.106,300.174,8.15,6
2024-05-11,09:05:00,,0,202.5,22.5,0,9,0,0,0,0,0,6,0,0,0,0
2024-05-11,13:30:00,,0,630,82.5,0,22,0,0,0,0,0,25.5,5,1840,17,0
2024-05-11,19:23:00,,0,198,21.4,0,2.5,1.3,0,0,0,0,22,0.6,600,0.9,0
2024-05-11,21:14:00,,0,1066.96,92.1412,0,59.1853,3.78823,0,0.988235,1.97647,574.823,42.5418,1.81176,112,0.0658823,0
2024-05-12,08:28:00,,0,202.5,22.5,0,9,0,0,0,0,0,6,0,0,0,0
