date,sleep_time,sleep_score_performance,sleep_score_consistency,sleep_score_efficiency,sleep_duration,sleep_rem,sleep_deep,sleep_light,sleep_awake,recovery_score,resting_hr,hrv,spo2,skin_temp
2024-06-21,23:42:34,65.0,86.0,90.213326,7.039633611111111,1.7924397222222224,2.0267833333333334,2.5314644444444445,0.6889461111111111,90.0,48.0,67.33354,95.25,33.0
2024-06-22,23:35:28,69.0,77.0,82.66835,8.574941666666666,2.403301388888889,2.291138611111111,2.374455277777778,1.5060463888888889,62.0,53.0,50.548996,95.86667,33.0
2024-06-23,23:40:12,69.0,87.0,82.670746,8.314823611111112,2.2110424999999996,1.7217786111111113,2.9079924999999998,1.4740099999999998,79.0,51.0,61.612087,96.3,33.1
2024-06-24,23:59:18,56.0,78.0,88.82063,6.194662777777778,1.8527055555555556,1.4499894444444446,2.1709825,0.7209852777777778,57.0,51.0,59.349052,95.03333,33.0
2024-06-25,00:20:09,54.0,78.0,86.60128,6.11386638888889,1.4499886111111109,1.6262313888888889,2.162966388888889,0.87468,42.0,51.0,53.123928,94.333336,33.3
2024-06-26,23:21:48,60.0,81.0,89.11993,6.953265833333334,1.6419805555555556,1.6502652777777778,2.875941944444444,0.7850780555555555,54.0,50.0,56.29655,98.07692,33.9
2024-06-27,00:27:22,54.0,84.0,89.86482,6.2052933333333335,1.6422544444444445,1.4419755555555556,2.456151111111111,0.6649122222222222,24.0,54.0,36.245884,94.76923,33.7
2024-06-28,23:11:16,59.0,85.0,80.94673,7.473951666666666,1.8742977777777776,1.7784441666666668,2.371239444444444,1.4499702777777776,53.0,52.0,52.90722,93.375,33.9
2024-06-29,23:29:19,59.0,90.0,93.02851,6.712943888888889,2.1306527777777777,1.7543966666666668,2.3151875,0.5127069444444444,22.0,61.0,34.0048,93.75,33.343334
2024-07-01,00:46:08,52.0,60.0,85.74023,6.219750555555555,1.6662827777777778,1.5974086111111112,2.034793888888889,0.9212652777777778,58.0,50.0,58.150845,95.82143,32.1
2024-07-02,23:37:33,60.0,76.0,84.31738,7.498011666666667,2.5154525000000003,1.9226336111111109,1.8502680555555557,1.2096574999999998,50.0,57.0,45.54551,95.0,32.4
2024-07-03,23:26:08,55.0,81.0,87.493286,6.2613377777777774,2.0347944444444446,1.5268325,1.8184972222222224,0.8812136111111112,75.0,51.0,68.57782,97.166664,33.09667
2024-07-04,23:38:23,68.0,78.0,89.10037,8.043296111111111,2.635615,2.0748458333333333,2.4275947222222225,0.9052405555555556,63.0,54.0,52.082348,92.65625,34.0
2024-07-05,00:22:46,56.0,85.0,87.748856,6.277407777777778,1.7941955555555558,1.5060647222222223,2.2080933333333332,0.7690541666666666,49.0,58.0,50.774208,96.76923,34.3
2024-07-06,00:59:13,72.0,65.0,85.89298,8.518066388888888,2.483410833333333,2.2614902777777774,2.57152,1.2016452777777777,66.0,55.0,54.793293,97.84615,34.176666
2024-07-07,00:48:58,68.0,72.0,88.99796,7.499889166666666,2.1164977777777776,2.3632352777777776,2.1950155555555555,0.8251405555555554,86.0,50.0,65.01316,94.681816,34.166668
2024-07-08,23:26:47,58.0,72.0,87.59541,7.1360005555555555,2.3632408333333332,2.066828055555556,1.7926713888888888,0.9132602777777777,36.0,55.0,43.61433,95.77273,34.056664
2024-07-09,23:00:10,60.0,67.0,86.19099,7.193605833333334,2.3229272222222224,1.9146272222222223,1.9626852777777777,0.9933661111111111,49.0,57.0,48.43867,96.60526,34.3
2024-07-10,23:48:14,60.0,76.0,86.74288,6.695113888888889,1.5681019444444444,1.5861538888888889,2.6115858333333337,0.9292722222222223,47.0,53.0,46.133263,96.07692,34.2
2024-07-11,23:13:59,62.0,82.0,81.71554,7.759150277777778,1.3776266666666668,2.211028055555556,2.7124994444444446,1.457996111111111,30.0,55.0,39.11605,96.15385,34.5
2024-07-12,23:43:00,62.0,88.0,88.37978,6.865165,2.258840277777778,1.6502619444444446,2.1229155555555557,0.8331472222222222,42.0,55.0,43.05048,96.111115,34.7
2024-07-13,00:05:33,72.0,74.0,92.7071,8.130888888888888,3.0999933333333334,2.2110230555555557,2.1229216666666666,0.6969508333333334,52.0,57.0,44.407864,95.63333,34.3
